CoDIGO PERSONA;EMPRESA;EDAD;SEXO;"ACTIVO/ CESADO 
(Data 07/12)";SEGMENTO;SEGMENTO_PERSONAL;CATEGORiA_PERSONAL;POSICION;UO3;UO2;NACIONAL/ EXTRANJERO;AGRUPADOR;EVENTO DE APRENDIZAJE;FECHA DE INICIO;FECHA DE TeRMINO;MES DE INICIO;TOTAL HORAS POR PERSONA;CAPACITACION_DE_PAGA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSION PERCAPITA (US$);DOCENTE/INSTITUCIoN;ASISTENCIA
6502315;Rimac Seguros y Reasegrs;32;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO ANALISIS DE COBERTURAS VEH;SINIESTROS VEHICULARES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;1;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6538167;Rimac Seguros y Reasegrs;25;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO CENTRO DE INFORMACION;SINIESTROS VEHICULARES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6508822;Rimac Seguros y Reasegrs;37;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE ANALISIS DE COBERTURAS VEH;SINIESTROS VEHICULARES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6532663;Rimac Seguros y Reasegrs;29;Femenino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;ASISTENTE OPERACIONES INMOBILIARIAS;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6538342;Rimac Seguros y Reasegrs;30;Femenino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;ASISTENTE ADMINISTRATIVO;AUDITORIA INTERNA;AUDITORIA INTERNA;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6512511;Rimac Seguros y Reasegrs;47;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541593;Rimac Seguros y Reasegrs;23;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO APOYO COMERCIAL;CORREDORES ESTRATEGICOS RRGG;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500434;Rimac Seguros y Reasegrs;53;Masculino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;ARQUEADOR;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6506073;Rimac Seguros y Reasegrs;35;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO COMERCIAL PROV;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6524382;Rimac S.A. EPS;38;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;REPRESENTANTE EN CLIENTES;CORREDORES ESTRATEGICOS EB;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
