CoDIGO PERSONA;EMPRESA;EDAD;SEXO;SEGMENTO;SEGMENTO_PERSONAL;NACIONAL/ EXTRANJERO;AGRUPADOR;MES DE INICIO;TOTAL HORAS POR PERSONA;CAPACITACION_DE_PAGA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSION PERCAPITA (US$);DOCENTE/INSTITUCIoN;ASISTENCIA
6502315;Rimac Seguros y Reasegrs;32;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;1;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6538167;Rimac Seguros y Reasegrs;25;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6508822;Rimac Seguros y Reasegrs;37;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6532663;Rimac Seguros y Reasegrs;29;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6538342;Rimac Seguros y Reasegrs;30;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6512511;Rimac Seguros y Reasegrs;47;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541593;Rimac Seguros y Reasegrs;23;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500434;Rimac Seguros y Reasegrs;53;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6506073;Rimac Seguros y Reasegrs;35;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6524382;Rimac S.A. EPS;38;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6507004;Rimac Seguros y Reasegrs;45;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
