CustomerID; Frecuencia; Monetary_value; Average_price; Recency; Country
12347;7;44.04857143;1.741523297;2; Islandia
12348;1; 201,36; 0,524375; 358,00; Finlandia
12349;1; 178,57;3,799,361,702; 18,00; Italia
12350;1; 25,2; 2,1; 310,00; Noruega
12352;5; 37,13;4,722,285,714; 80,00; Noruega
12353;1; 39,8; 9,95; 204,00; Bahréin
12354;1; 55,8;34,875; 232,00; España
12355;1; 17,7; 2,95; 214,00; Bahréin
12356;2; 75,45;1,005,555,556; 245,00; Portugal
12357;1;557.28;2.143384615;33; Suiza
12359;5; 137,24;1,165,255,556; 7,00; Chipre
12360;3;58.52666667;2.067777778;52; Austria
12361;1; 16,5; 1,65; 287,00; Bélgica
12362;10;56.347;3.18825641;3; Bélgica
12363;2; 23,7; 1,35; 109,00; No especificado
12364;3;62.56666667;1.202874873;7; Bélgica
12365;1; 12,5; 1,25; 291,00; Chipre
12367;1; 9,9; 4,95; 4,00; Dinamarca
12370;3; 89,75;4,667,063,492; 51,00; Chipre
12371;2;262.02;21.367;44; Suiza
12372;3;59;2.022666667;71; Dinamarca
12373;1;39; 1,95; 311,00; Austria
12374;1; 184,65;4,196,590,909; 25,00; Austria
12375;2; 30,4; 21,04; 10,00; Finlandia
12377;2; 69,57;155,875; 315,00; Suiza
12378;1;440.42;1.819917355;129; Suiza
12379;2; 31,65; 1,9; 81,00; Bélgica
12380;4;75.1625;2.714393655;21; Bélgica
12381;4;63.2625;4.449594156;4; Noruega
12383;4;47.32;1.277451737;238; Bélgica
12384;3; 19,63;3,683,333,333; 28,00; Suiza
12386;1; 101,4;2,816,666,667; 366,00; Australia
12388;5;80.852;2.131887081;75; Australia
12390;1; 65,7;16,425; 79,00; Bélgica
12391;1; 97,59;1,267,402,597; 21,00; Chipre
12393;3;73.33333333;1.956186869;72; Australia
12394;2; 76,3; 2,9; 63,00; Bélgica
12395;10;28.646;1.419547049;19; Bélgica
12397;2;112.68;1.85049569;35; Bélgica
12398;1; 161,72; 0,908539326; 45,00; Suiza
12399;1;15; 1,25; 213,00; Bélgica
12401;1; 25,5; 12,75; 303,00; Bélgica
12402;1; 54,9;2,495,454,545; 323,00; Bélgica
12405;1; 200,25;3,178,571,429; 148,00; Finlandia
12406;2;318.935;1.762402621;22; Dinamarca
12407;4;51.005;1.020909091;134; Bélgica
12408;5; 66,91;4,488,428,687; 32,00; Bélgica
12409;2;742.92;1.480282634;78; Suiza
12410;1; 66,6;2,378,571,429; 308,00; Suiza
12412;3;94.02;2.201633333;74; Dinamarca
12413;1;18;18; 66,00; Francia
12414;1; 19,8; 1,65; 217,00; Austria
12415;16;828.40625;17.98498837;24; Australia
12417;9;51.29777778;4.053596421;3; Bélgica
12418;1; 50,46; 0,764545455; 112,00; Suiza
12420;1; 43,77; 0,694761905; 63,00; Chipre
12421;3;27.41666667;2.775;15; España
12422;2;33,275; 1,76; 168,00; Australia
12423;7;48.31142857;1.361794299;0; Bélgica
12424;1;118; 2,95; 162,00; Australia
12425;1; 55,6;2,138,461,538; 78,00; Portugal
12426;1; 17,7; 2,95; 194,00; Alemania
12427;2; -12,69; 1,08; 11,00; Alemania
12428;8;113.30875;8.337529641;25; Finlandia
12429;3; 96,7;2,844,047,619; 172,00; Dinamarca
12430;1; 76,56; 1,74; 43,00; Noruega
12431;11;41.92454545;4.474002553;60; Australia
12432;3;218.26;3.010430108;42; Noruega
12433;6;241.6816667;1.158885868;0; Noruega
12434;2; 66,88;4,841,875; 84,00; Australia
12435;2; 444,15;8,222,881,356; 79,00; Dinamarca
12436;1; 13,2; 0,55; 99,00; Noruega
12437;11;47.13636364;3.00060087;9; Francia
12438;2; 167,45;4,933,569,501; 14,00; Noruega
12441;1; 50,7;2,668,421,053; 366,00; Francia
12444;3; 182,2;3,554,274,989; 21,00; Noruega
12445;1; 17,4; 1,45; 22,00; España
12446;1; 70,4;2,514,285,714; 57,00; RSA
12447;1; 35,4; 2,95; 243,00; Bélgica
12448;1; 7,75; 1,55; 44,00; España
12449;4; 75,19;2,212,416,667; 22,00; Bélgica
12451;6;154.5166667;1.583502709;10; Suiza
12452;2; 15,14;1,396,666,667; 16,00; Suiza
12453;1; 59,7; 1,99; 134,00; Austria
12454;1;-809.12;2.198695652;53; España
12455;4; 74,15;7,869,856,591; 73,00; Chipre
12456;3;176.8533333;3.849472574;44; Suiza
12457;4;37.7625;5.058125;66; Suiza
12458;2; 71,88;4,268,333,333; 71,00; Suiza
12461;1; 132,15;2,696,938,776; 154,00; Suiza
12462;3;25.24333333;2.90562724;2; España
12463;5;21.844;3.330760959;46; Bélgica
12464;4;29.325;11.7375;10; Bélgica
12465;2; 40,8;1,062,857,143; 17,00; Bélgica
12468;2;59.225;1.874468085;187; Alemania
12471;23;96.8526087;2.594514804;2; Alemania
12472;9;69.79444444;1.985405785;31; Alemania
12473;4;75,675; 0,909051402; 53,00; Alemania
12474;15;56.662;1.971634024;17; Alemania
12475;1; 75,9; 0,519863014; 53,00; Alemania
12476;12;70.61666667;6.516672508;1; Alemania
12477;6;288.8016667;3.483348928;22; Alemania
12478;1; 50,64;1,808,571,429; 3,00; Grecia
12479;2;45,775;3,086,144,578; 4,00; Alemania
12480;4; 67,85;2,070,455,044; 28,00; Alemania
12481;9;46.86666667;1.22525334;22; Alemania
12483;4;101.345;13.6153022;17; Suecia
12484;4;125.7225;2.87000514;35; España
12488;3;57.06666667;3.141666667;9; Francia
12489;1; 48,75; 9,75; 336,00; Francia
12490;10;69,994;158,814,652; 5,00; Francia
12491;1; 44,5; 0,767241379; 38,00; Francia
12492;1; 38,04;1,585; 105,00; Alemania
12493;2; 29,54;3,679,130,435; 165,00; Francia
12494;6;16.42166667;1.767777778;15; Francia
12497;1;105; 0,42; 81,00; Alemania
12498;2; 21,35; 2,1; 21,00; Alemania
12500;7;110.1985714;6.809142857;23; Alemania
12501;2;165.395;1.203475275;315; Alemania
12502;5; 120,42;5,275,860,815; 95,00; España
